wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
9.02	1.281	0.234	0.008	0.011
9.04	1.285	0.236	0.008	0.011
9.06	1.287	0.238	0.008	0.011
9.08	1.290	0.240	0.008	0.011
9.10	1.292	0.242	0.008	0.011
9.12	1.293	0.244	0.008	0.011
9.14	1.294	0.246	0.008	0.011
9.16	1.295	0.249	0.008	0.011
9.18	1.295	0.252	0.008	0.011
9.20	1.296	0.255	0.008	0.011
9.22	1.295	0.258	0.009	0.011
9.24	1.293	0.262	0.009	0.011
9.26	1.293	0.267	0.009	0.012
9.28	1.291	0.273	0.009	0.012
9.30	1.290	0.281	0.009	0.012
9.32	1.290	0.290	0.009	0.013
9.34	1.291	0.299	0.009	0.013
9.36	1.292	0.309	0.009	0.014
9.38	1.295	0.319	0.009	0.014
9.40	1.298	0.329	0.009	0.014
9.42	1.303	0.341	0.009	0.015
9.44	1.309	0.353	0.009	0.015
9.46	1.317	0.365	0.009	0.016
9.48	1.326	0.376	0.009	0.017
9.50	1.336	0.387	0.009	0.017
9.52	1.348	0.398	0.008	0.018
9.54	1.362	0.408	0.007	0.019
9.56	1.378	0.416	0.006	0.019
9.58	1.394	0.423	0.005	0.019
9.60	1.411	0.428	0.004	0.020
9.62	1.429	0.431	0.004	0.020
9.64	1.447	0.433	0.003	0.020
9.66	1.466	0.433	0.002	0.020
9.68	1.484	0.430	0.002	0.020
9.70	1.502	0.426	0.002	0.020
9.72	1.518	0.420	0.002	0.020
9.74	1.534	0.413	0.003	0.019
9.76	1.547	0.405	0.003	0.019
9.78	1.560	0.397	0.004	0.019
9.80	1.572	0.387	0.004	0.018
9.82	1.583	0.379	0.005	0.018
9.84	1.593	0.369	0.005	0.017
9.86	1.602	0.359	0.006	0.017
9.88	1.610	0.350	0.006	0.016
9.90	1.618	0.341	0.007	0.016
9.92	1.626	0.331	0.007	0.015
9.94	1.634	0.322	0.008	0.015
9.96	1.641	0.312	0.008	0.014
9.98	1.648	0.301	0.008	0.014
10.00	1.655	0.288	0.009	0.013
10.02	1.659	0.276	0.009	0.012
10.04	1.663	0.264	0.009	0.011
10.06	1.666	0.252	0.009	0.011
10.08	1.668	0.240	0.010	0.010
10.10	1.670	0.228	0.010	0.009
10.12	1.670	0.216	0.010	0.009
10.14	1.670	0.205	0.010	0.008
10.16	1.669	0.194	0.009	0.007
10.18	1.667	0.183	0.009	0.006
10.20	1.664	0.173	0.009	0.006
10.22	1.661	0.164	0.009	0.005
10.24	1.658	0.156	0.008	0.005
10.26	1.655	0.147	0.008	0.004
10.28	1.650	0.139	0.008	0.004
10.30	1.646	0.132	0.007	0.003
10.32	1.642	0.125	0.007	0.003
10.34	1.637	0.119	0.006	0.003
10.36	1.633	0.114	0.006	0.002
10.38	1.628	0.108	0.005	0.002
10.40	1.623	0.104	0.005	0.002
10.42	1.619	0.099	0.005	0.002
10.44	1.615	0.095	0.005	0.002
10.46	1.610	0.090	0.004	0.002
10.48	1.605	0.087	0.004	0.002
10.50	1.600	0.084	0.004	0.002
10.52	1.596	0.082	0.004	0.002
10.54	1.592	0.080	0.003	0.001
10.56	1.587	0.077	0.003	0.002
10.58	1.583	0.076	0.003	0.001
10.60	1.579	0.075	0.003	0.001
10.62	1.575	0.074	0.002	0.001
10.64	1.572	0.073	0.002	0.002
10.66	1.569	0.073	0.002	0.002
10.68	1.566	0.072	0.002	0.002
10.70	1.563	0.072	0.002	0.002
