wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
9.38	1.395	0.088	0.011	0.010
9.40	1.396	0.091	0.011	0.010
9.42	1.396	0.096	0.011	0.011
9.44	1.398	0.099	0.011	0.011
9.46	1.397	0.104	0.011	0.012
9.48	1.401	0.109	0.010	0.012
9.50	1.403	0.112	0.010	0.013
9.52	1.406	0.116	0.010	0.013
9.54	1.409	0.118	0.010	0.013
9.56	1.411	0.121	0.009	0.013
9.58	1.414	0.125	0.009	0.014
9.60	1.419	0.128	0.008	0.014
9.62	1.423	0.129	0.008	0.014
9.64	1.427	0.132	0.008	0.015
9.66	1.432	0.132	0.007	0.015
9.68	1.434	0.133	0.007	0.015
9.70	1.438	0.135	0.007	0.015
9.72	1.441	0.135	0.006	0.015
9.74	1.446	0.137	0.006	0.015
9.76	1.450	0.135	0.005	0.015
9.78	1.452	0.137	0.005	0.015
9.80	1.456	0.137	0.004	0.015
9.82	1.460	0.137	0.004	0.015
9.84	1.463	0.136	0.004	0.015
9.86	1.465	0.136	0.004	0.015
9.88	1.467	0.137	0.003	0.015
9.90	1.470	0.140	0.003	0.015
9.92	1.476	0.140	0.003	0.015
9.94	1.479	0.141	0.003	0.015
9.96	1.486	0.142	0.002	0.016
9.98	1.491	0.141	0.002	0.015
10.00	1.497	0.141	0.001	0.015
10.02	1.503	0.140	0.002	0.015
10.04	1.510	0.137	0.002	0.015
10.06	1.516	0.134	0.002	0.015
10.08	1.522	0.130	0.003	0.014
10.10	1.528	0.125	0.003	0.014
10.12	1.533	0.119	0.004	0.013
10.14	1.536	0.112	0.004	0.012
10.16	1.539	0.106	0.005	0.011
10.18	1.541	0.099	0.005	0.011
10.20	1.543	0.093	0.005	0.010
10.22	1.544	0.086	0.005	0.009
10.24	1.543	0.079	0.005	0.008
10.26	1.541	0.074	0.005	0.008
10.28	1.540	0.069	0.005	0.007
10.30	1.538	0.064	0.004	0.007
10.32	1.537	0.061	0.004	0.006
10.34	1.536	0.055	0.004	0.006
10.36	1.532	0.051	0.003	0.005
10.38	1.530	0.049	0.003	0.005
10.40	1.528	0.045	0.003	0.004
10.42	1.525	0.043	0.002	0.004
10.44	1.523	0.040	0.002	0.004
10.46	1.520	0.038	0.002	0.004
10.48	1.518	0.037	0.002	0.004
10.50	1.516	0.034	0.001	0.003
10.52	1.513	0.034	0.002	0.003
10.54	1.512	0.032	0.002	0.003
10.56	1.508	0.031	0.001	0.003
10.58	1.507	0.031	0.001	0.003
10.60	1.505	0.030	0.002	0.003
10.62	1.503	0.029	0.001	0.003
10.64	1.501	0.028	0.001	0.003
10.66	1.499	0.028	0.002	0.003
10.68	1.497	0.028	0.002	0.003
10.70	1.496	0.029	0.002	0.003
10.72	1.495	0.028	0.002	0.003
10.74	1.493	0.029	0.002	0.003
10.76	1.493	0.028	0.002	0.003
10.78	1.491	0.028	0.003	0.003
10.80	1.492	0.028	0.003	0.003
10.82	1.490	0.027	0.003	0.003
10.84	1.489	0.028	0.003	0.003
10.86	1.489	0.028	0.003	0.003
10.88	1.489	0.027	0.003	0.003
10.90	1.488	0.026	0.003	0.003
10.92	1.487	0.026	0.003	0.003
10.94	1.487	0.025	0.003	0.003
10.96	1.486	0.024	0.003	0.003
10.98	1.484	0.023	0.003	0.003
11.00	1.482	0.023	0.003	0.003
11.02	1.482	0.023	0.004	0.003
11.04	1.481	0.022	0.003	0.003
11.06	1.480	0.021	0.004	0.002
11.08	1.478	0.020	0.004	0.002
11.10	1.476	0.020	0.004	0.002
11.12	1.474	0.019	0.004	0.002
11.14	1.471	0.019	0.005	0.002
11.16	1.469	0.018	0.005	0.002
11.18	1.465	0.018	0.006	0.002
11.20	1.461	0.019	0.006	0.002
11.22	1.456	0.022	0.007	0.003
11.24	1.454	0.025	0.007	0.003
11.26	1.449	0.029	0.008	0.004
11.28	1.447	0.035	0.007	0.004
11.30	1.445	0.042	0.008	0.005
11.32	1.447	0.050	0.008	0.006
11.34	1.449	0.057	0.008	0.007
11.36	1.455	0.064	0.007	0.008
11.38	1.462	0.068	0.006	0.008
11.40	1.470	0.071	0.005	0.008
11.42	1.478	0.070	0.004	0.008
11.44	1.484	0.070	0.004	0.008
11.46	1.492	0.068	0.003	0.008
11.48	1.498	0.063	0.002	0.007
11.50	1.503	0.058	0.002	0.007
11.52	1.506	0.051	0.002	0.006
11.54	1.507	0.045	0.002	0.006
11.56	1.508	0.039	0.002	0.005
11.58	1.505	0.033	0.002	0.004
11.60	1.503	0.030	0.002	0.004
11.62	1.500	0.027	0.003	0.004
11.64	1.498	0.026	0.002	0.004
11.66	1.497	0.024	0.003	0.003
11.68	1.495	0.023	0.003	0.003
11.70	1.494	0.021	0.003	0.003
11.72	1.492	0.020	0.003	0.003
11.74	1.490	0.020	0.003	0.003
11.76	1.490	0.020	0.003	0.003
11.78	1.489	0.018	0.003	0.003
11.80	1.487	0.018	0.003	0.003
11.82	1.487	0.017	0.004	0.003
11.84	1.485	0.016	0.004	0.002
11.86	1.485	0.016	0.004	0.002
11.88	1.484	0.015	0.004	0.002
11.90	1.483	0.015	0.004	0.002
11.92	1.482	0.014	0.004	0.002
11.94	1.480	0.014	0.004	0.002
11.96	1.480	0.014	0.004	0.002
11.98	1.479	0.013	0.004	0.002
12.00	1.477	0.013	0.005	0.002
12.02	1.477	0.013	0.005	0.002
12.04	1.475	0.013	0.005	0.002
12.06	1.474	0.014	0.005	0.002
12.08	1.474	0.014	0.005	0.002
12.10	1.474	0.014	0.005	0.002
12.12	1.473	0.014	0.005	0.002
12.14	1.473	0.014	0.005	0.002
12.16	1.472	0.014	0.005	0.002
12.18	1.472	0.014	0.005	0.002
12.20	1.471	0.014	0.005	0.002
12.22	1.471	0.014	0.006	0.002
12.24	1.471	0.014	0.005	0.002
12.26	1.470	0.014	0.006	0.002
12.28	1.470	0.014	0.006	0.002
12.30	1.469	0.014	0.006	0.002
12.32	1.469	0.014	0.006	0.002
12.34	1.468	0.014	0.006	0.002
12.36	1.467	0.014	0.006	0.002
12.38	1.467	0.015	0.006	0.003
12.40	1.467	0.015	0.006	0.003
12.42	1.466	0.015	0.006	0.003
12.44	1.465	0.016	0.006	0.003
12.46	1.466	0.017	0.006	0.003
12.48	1.467	0.017	0.006	0.003
12.50	1.467	0.017	0.006	0.003
12.52	1.467	0.017	0.006	0.003
12.54	1.467	0.017	0.006	0.003
12.56	1.467	0.017	0.006	0.003
12.58	1.468	0.017	0.006	0.003
12.60	1.468	0.016	0.006	0.003
12.62	1.468	0.015	0.006	0.003
12.64	1.467	0.015	0.006	0.003
12.66	1.467	0.015	0.006	0.003
12.68	1.467	0.015	0.006	0.003
12.70	1.467	0.014	0.006	0.002
12.72	1.466	0.014	0.006	0.002
12.74	1.466	0.014	0.007	0.003
12.76	1.466	0.014	0.007	0.003
12.78	1.466	0.014	0.007	0.003
12.80	1.465	0.014	0.007	0.003
12.82	1.465	0.014	0.007	0.003
12.84	1.466	0.014	0.007	0.003
12.86	1.466	0.013	0.007	0.002
12.88	1.465	0.013	0.007	0.002
12.90	1.465	0.013	0.007	0.003
12.92	1.465	0.012	0.007	0.002
12.94	1.464	0.012	0.007	0.002
12.96	1.464	0.012	0.007	0.002
12.98	1.463	0.012	0.007	0.002
13.00	1.463	0.012	0.007	0.002
13.02	1.463	0.012	0.007	0.002
13.04	1.463	0.012	0.007	0.002
13.06	1.463	0.012	0.007	0.002
13.08	1.462	0.012	0.007	0.002
13.10	1.462	0.012	0.007	0.002
13.12	1.462	0.012	0.007	0.002
13.14	1.463	0.012	0.007	0.002
13.16	1.463	0.011	0.007	0.002
13.18	1.462	0.011	0.008	0.002
13.20	1.462	0.011	0.008	0.002
13.22	1.461	0.011	0.008	0.002
13.24	1.462	0.011	0.007	0.002
13.26	1.462	0.010	0.008	0.002
13.28	1.461	0.010	0.008	0.002
13.30	1.461	0.010	0.008	0.002
13.32	1.461	0.010	0.008	0.002
13.34	1.461	0.009	0.008	0.002
13.36	1.460	0.009	0.008	0.002
13.38	1.460	0.009	0.008	0.002
13.40	1.459	0.009	0.008	0.002
13.42	1.459	0.009	0.008	0.002
13.44	1.459	0.009	0.008	0.002
13.46	1.458	0.009	0.009	0.002
13.48	1.458	0.009	0.009	0.002
13.50	1.458	0.009	0.009	0.002
13.52	1.458	0.009	0.009	0.002
13.54	1.458	0.009	0.009	0.002
13.56	1.458	0.009	0.009	0.002
