wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
8.38	1.393	0.039	0.021	0.007
8.40	1.392	0.040	0.021	0.007
8.42	1.391	0.041	0.021	0.007
8.44	1.390	0.042	0.021	0.007
8.46	1.389	0.044	0.021	0.007
8.48	1.389	0.046	0.021	0.008
8.50	1.389	0.046	0.021	0.008
8.52	1.387	0.048	0.021	0.008
8.54	1.386	0.050	0.022	0.009
8.56	1.385	0.051	0.022	0.009
8.58	1.385	0.054	0.022	0.009
8.60	1.384	0.055	0.022	0.009
8.62	1.383	0.058	0.022	0.010
8.64	1.383	0.060	0.022	0.010
8.66	1.382	0.061	0.022	0.010
8.68	1.381	0.063	0.022	0.010
8.70	1.381	0.066	0.022	0.011
8.72	1.381	0.068	0.022	0.011
8.74	1.380	0.070	0.022	0.011
8.76	1.379	0.073	0.022	0.012
8.78	1.379	0.075	0.022	0.012
8.80	1.378	0.077	0.022	0.012
8.82	1.378	0.080	0.022	0.013
8.84	1.378	0.082	0.022	0.013
8.86	1.377	0.085	0.022	0.013
8.88	1.376	0.088	0.022	0.014
8.90	1.376	0.092	0.023	0.014
8.92	1.376	0.095	0.022	0.014
8.94	1.376	0.099	0.023	0.015
8.96	1.377	0.103	0.022	0.016
8.98	1.378	0.107	0.022	0.016
9.00	1.379	0.110	0.022	0.017
9.02	1.380	0.114	0.022	0.017
9.04	1.382	0.117	0.022	0.018
9.06	1.384	0.121	0.021	0.018
9.08	1.386	0.123	0.021	0.018
9.10	1.387	0.127	0.021	0.019
9.12	1.389	0.129	0.021	0.019
9.14	1.391	0.133	0.021	0.020
9.16	1.394	0.135	0.020	0.020
9.18	1.395	0.138	0.020	0.020
9.20	1.397	0.141	0.019	0.021
9.22	1.399	0.144	0.019	0.021
9.24	1.401	0.147	0.019	0.021
9.26	1.403	0.149	0.019	0.022
9.28	1.405	0.153	0.018	0.022
9.30	1.407	0.157	0.019	0.023
9.32	1.410	0.161	0.018	0.023
9.34	1.414	0.164	0.018	0.024
9.36	1.417	0.169	0.017	0.024
9.38	1.422	0.173	0.017	0.025
9.40	1.426	0.176	0.016	0.025
9.42	1.431	0.180	0.015	0.026
9.44	1.437	0.183	0.014	0.026
9.46	1.444	0.186	0.014	0.027
9.48	1.450	0.188	0.012	0.027
9.50	1.457	0.190	0.012	0.027
9.52	1.464	0.190	0.011	0.027
9.54	1.472	0.191	0.010	0.027
9.56	1.478	0.189	0.009	0.027
9.58	1.485	0.189	0.008	0.027
9.60	1.493	0.186	0.007	0.026
9.62	1.498	0.184	0.007	0.026
9.64	1.505	0.182	0.006	0.025
