wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
7.26	1.199	0.002	0.044	0.001
7.28	1.196	0.002	0.044	0.001
7.30	1.193	0.002	0.045	0.001
7.32	1.191	0.002	0.045	0.001
7.34	1.188	0.002	0.045	0.001
7.36	1.185	0.002	0.046	0.001
7.38	1.182	0.002	0.046	0.001
7.40	1.179	0.002	0.047	0.001
7.42	1.176	0.002	0.047	0.001
7.44	1.172	0.002	0.048	0.001
7.46	1.169	0.002	0.048	0.001
7.48	1.165	0.002	0.049	0.001
7.50	1.161	0.002	0.049	0.001
7.52	1.158	0.002	0.050	0.001
7.54	1.153	0.002	0.050	0.001
7.56	1.149	0.002	0.050	0.001
7.58	1.143	0.002	0.051	0.001
7.60	1.139	0.004	0.052	0.002
7.62	1.134	0.005	0.052	0.003
7.64	1.130	0.007	0.053	0.003
7.66	1.125	0.008	0.054	0.005
7.68	1.121	0.010	0.055	0.005
7.70	1.116	0.011	0.055	0.005
7.72	1.112	0.013	0.056	0.004
7.74	1.108	0.014	0.057	0.004
7.76	1.103	0.016	0.058	0.004
7.78	1.099	0.017	0.059	0.004
7.80	1.094	0.019	0.060	0.004
7.82	1.090	0.020	0.061	0.004
7.84	1.086	0.022	0.062	0.004
7.86	1.082	0.020	0.063	0.004
7.88	1.073	0.020	0.064	0.004
7.90	1.066	0.023	0.066	0.005
7.92	1.060	0.024	0.066	0.005
7.94	1.052	0.026	0.068	0.005
7.96	1.045	0.029	0.069	0.005
7.98	1.038	0.031	0.071	0.006
8.00	1.031	0.034	0.072	0.006
8.02	1.022	0.035	0.073	0.007
8.04	1.013	0.039	0.074	0.007
8.06	1.004	0.042	0.076	0.008
8.08	0.993	0.048	0.078	0.008
8.10	0.986	0.053	0.079	0.009
8.12	0.975	0.057	0.081	0.010
8.14	0.965	0.064	0.083	0.011
8.16	0.954	0.070	0.084	0.012
8.18	0.944	0.078	0.085	0.014
8.20	0.932	0.085	0.087	0.015
8.22	0.920	0.097	0.090	0.016
8.24	0.911	0.108	0.091	0.019
8.26	0.900	0.120	0.093	0.021
8.28	0.891	0.134	0.094	0.023
8.30	0.882	0.147	0.095	0.025
8.32	0.872	0.161	0.096	0.029
8.34	0.863	0.178	0.098	0.031
8.36	0.857	0.197	0.099	0.033
8.38	0.853	0.213	0.099	0.037
8.40	0.847	0.232	0.099	0.040
8.42	0.845	0.251	0.100	0.044
8.44	0.841	0.269	0.099	0.046
8.46	0.842	0.291	0.099	0.049
8.48	0.844	0.310	0.098	0.051
8.50	0.849	0.328	0.097	0.053
8.52	0.853	0.342	0.096	0.056
8.54	0.856	0.357	0.095	0.058
8.56	0.858	0.371	0.094	0.060
8.58	0.860	0.387	0.093	0.062
8.60	0.863	0.403	0.093	0.064
8.62	0.867	0.419	0.092	0.067
8.64	0.871	0.434	0.090	0.068
8.66	0.874	0.449	0.090	0.069
8.68	0.877	0.465	0.089	0.072
8.70	0.881	0.481	0.088	0.074
8.72	0.883	0.499	0.087	0.075
8.74	0.887	0.519	0.087	0.078
8.76	0.893	0.541	0.085	0.081
8.78	0.904	0.563	0.084	0.083
8.80	0.915	0.582	0.082	0.085
8.82	0.927	0.603	0.080	0.088
8.84	0.941	0.622	0.078	0.089
8.86	0.958	0.642	0.076	0.091
8.88	0.975	0.656	0.074	0.093
8.90	0.990	0.674	0.072	0.095
8.92	1.010	0.691	0.070	0.097
8.94	1.031	0.707	0.067	0.098
8.96	1.055	0.720	0.065	0.100
8.98	1.078	0.732	0.062	0.102
9.00	1.104	0.742	0.059	0.103
9.02	1.130	0.749	0.057	0.103
9.04	1.158	0.753	0.053	0.105
9.06	1.183	0.754	0.050	0.105
9.08	1.209	0.754	0.046	0.105
9.10	1.236	0.749	0.043	0.104
9.12	1.258	0.740	0.040	0.103
9.14	1.278	0.731	0.038	0.102
9.16	1.296	0.719	0.035	0.100
9.18	1.308	0.706	0.034	0.099
9.20	1.319	0.695	0.032	0.097
9.22	1.326	0.682	0.032	0.095
9.24	1.329	0.673	0.031	0.094
9.26	1.329	0.666	0.031	0.092
9.28	1.328	0.663	0.031	0.092
9.30	1.326	0.663	0.032	0.092
9.32	1.325	0.668	0.031	0.093
9.34	1.326	0.676	0.032	0.093
9.36	1.330	0.687	0.031	0.094
9.38	1.338	0.697	0.031	0.096
9.40	1.346	0.707	0.030	0.097
9.42	1.356	0.721	0.030	0.099
9.44	1.371	0.734	0.028	0.101
9.46	1.388	0.747	0.027	0.102
9.48	1.411	0.758	0.025	0.104
9.50	1.433	0.766	0.023	0.106
9.52	1.461	0.774	0.021	0.107
9.54	1.490	0.775	0.019	0.108
9.56	1.518	0.774	0.018	0.108
