wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
8.24	1.166	0.106	0.012	0.004
8.26	1.164	0.110	0.012	0.004
8.28	1.163	0.114	0.012	0.004
8.30	1.161	0.118	0.012	0.004
8.32	1.160	0.122	0.012	0.004
8.34	1.158	0.125	0.013	0.004
8.36	1.155	0.129	0.013	0.004
8.38	1.154	0.134	0.013	0.005
8.40	1.151	0.137	0.013	0.004
8.42	1.149	0.143	0.014	0.005
8.44	1.147	0.147	0.013	0.005
8.46	1.146	0.152	0.013	0.005
8.48	1.143	0.154	0.013	0.005
8.50	1.138	0.160	0.014	0.006
8.52	1.136	0.165	0.014	0.006
8.54	1.132	0.171	0.014	0.006
8.56	1.129	0.177	0.014	0.006
8.58	1.126	0.183	0.014	0.006
8.60	1.122	0.188	0.015	0.006
8.62	1.117	0.196	0.015	0.007
8.64	1.113	0.203	0.015	0.007
8.66	1.108	0.212	0.016	0.008
8.68	1.105	0.220	0.015	0.008
8.70	1.098	0.229	0.016	0.008
8.72	1.094	0.241	0.016	0.009
8.74	1.089	0.252	0.016	0.009
8.76	1.084	0.265	0.016	0.010
8.78	1.079	0.280	0.017	0.011
8.80	1.076	0.297	0.017	0.012
8.82	1.074	0.314	0.017	0.012
8.84	1.073	0.334	0.017	0.013
8.86	1.075	0.354	0.017	0.014
8.88	1.077	0.375	0.017	0.014
8.90	1.083	0.397	0.016	0.015
8.92	1.091	0.419	0.016	0.016
8.94	1.102	0.441	0.016	0.017
8.96	1.115	0.462	0.015	0.018
8.98	1.131	0.483	0.015	0.019
9.00	1.150	0.501	0.014	0.020
9.02	1.170	0.517	0.013	0.020
9.04	1.192	0.531	0.013	0.022
9.06	1.216	0.542	0.011	0.022
9.08	1.239	0.550	0.011	0.022
9.10	1.264	0.556	0.010	0.023
9.12	1.286	0.558	0.009	0.023
9.14	1.308	0.561	0.008	0.023
9.16	1.331	0.560	0.007	0.023
9.18	1.351	0.556	0.006	0.023
9.20	1.367	0.552	0.005	0.023
9.22	1.384	0.549	0.004	0.023
9.24	1.398	0.545	0.004	0.023
9.26	1.413	0.542	0.003	0.023
9.28	1.426	0.537	0.003	0.022
9.30	1.439	0.536	0.002	0.023
9.32	1.453	0.532	0.002	0.023
9.34	1.466	0.530	0.002	0.023
9.36	1.479	0.526	0.001	0.022
9.38	1.491	0.525	0.002	0.023
9.40	1.507	0.522	0.002	0.022
9.42	1.520	0.519	0.003	0.022
9.44	1.537	0.515	0.004	0.022
9.46	1.551	0.509	0.004	0.022
9.48	1.566	0.504	0.005	0.021
9.50	1.582	0.497	0.005	0.021
9.52	1.597	0.490	0.006	0.021
9.54	1.613	0.481	0.007	0.021
9.56	1.627	0.470	0.008	0.020
9.58	1.642	0.461	0.008	0.019
9.60	1.657	0.448	0.009	0.019
9.62	1.671	0.433	0.010	0.018
9.64	1.683	0.417	0.010	0.017
9.66	1.694	0.400	0.011	0.017
9.68	1.701	0.381	0.011	0.016
9.70	1.709	0.364	0.011	0.015
9.72	1.711	0.343	0.012	0.014
9.74	1.711	0.328	0.011	0.013
9.76	1.712	0.311	0.011	0.012
9.78	1.709	0.298	0.011	0.012
9.80	1.709	0.285	0.011	0.011
9.82	1.706	0.274	0.011	0.010
9.84	1.705	0.264	0.011	0.010
9.86	1.704	0.254	0.011	0.009
9.88	1.702	0.245	0.011	0.009
9.90	1.702	0.238	0.010	0.008
9.92	1.703	0.228	0.010	0.008
9.94	1.703	0.220	0.010	0.008
9.96	1.705	0.209	0.010	0.007
9.98	1.704	0.197	0.010	0.007
10.00	1.702	0.187	0.010	0.006
10.02	1.701	0.176	0.010	0.006
10.04	1.698	0.165	0.010	0.006
10.06	1.694	0.155	0.010	0.005
10.08	1.690	0.144	0.009	0.005
10.10	1.684	0.135	0.009	0.004
10.12	1.678	0.127	0.008	0.004
10.14	1.674	0.120	0.009	0.004
10.16	1.668	0.111	0.008	0.004
10.18	1.660	0.105	0.008	0.003
10.20	1.654	0.099	0.007	0.003
10.22	1.648	0.095	0.007	0.003
10.24	1.642	0.089	0.007	0.003
10.26	1.634	0.086	0.007	0.003
10.28	1.630	0.083	0.007	0.003
10.30	1.625	0.079	0.007	0.002
10.32	1.618	0.076	0.006	0.002
10.34	1.614	0.074	0.006	0.002
10.36	1.609	0.070	0.006	0.002
10.38	1.603	0.069	0.006	0.002
10.40	1.598	0.066	0.005	0.002
10.42	1.592	0.066	0.005	0.002
10.44	1.589	0.064	0.005	0.002
10.46	1.583	0.063	0.005	0.002
10.48	1.580	0.062	0.004	0.002
10.50	1.575	0.061	0.004	0.002
10.52	1.570	0.061	0.004	0.002
10.54	1.567	0.062	0.004	0.002
10.56	1.564	0.060	0.004	0.002
10.58	1.559	0.062	0.004	0.002
