wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
7.70	1.362	0.015	0.006	0.002
7.72	1.362	0.015	0.006	0.002
7.74	1.361	0.015	0.006	0.002
7.76	1.360	0.014	0.006	0.002
7.78	1.358	0.014	0.006	0.002
7.80	1.358	0.013	0.006	0.002
7.82	1.355	0.013	0.006	0.002
7.84	1.354	0.013	0.006	0.002
7.86	1.351	0.014	0.006	0.002
7.88	1.352	0.014	0.006	0.002
7.90	1.349	0.013	0.006	0.002
7.92	1.348	0.014	0.006	0.002
7.94	1.346	0.013	0.006	0.002
7.96	1.344	0.014	0.006	0.002
7.98	1.343	0.014	0.006	0.002
8.00	1.341	0.014	0.006	0.002
8.02	1.339	0.014	0.006	0.002
8.04	1.337	0.015	0.006	0.002
8.06	1.336	0.015	0.006	0.002
8.08	1.334	0.015	0.006	0.002
8.10	1.331	0.015	0.006	0.002
8.12	1.330	0.016	0.006	0.002
8.14	1.327	0.016	0.006	0.002
8.16	1.325	0.017	0.006	0.002
8.18	1.322	0.018	0.006	0.002
8.20	1.320	0.019	0.006	0.002
8.22	1.317	0.020	0.006	0.002
8.24	1.316	0.022	0.006	0.002
8.26	1.313	0.023	0.006	0.002
8.28	1.312	0.025	0.006	0.002
8.30	1.309	0.026	0.006	0.002
8.32	1.308	0.028	0.007	0.002
8.34	1.306	0.029	0.007	0.002
8.36	1.303	0.031	0.007	0.002
8.38	1.301	0.033	0.007	0.002
8.40	1.299	0.035	0.007	0.002
8.42	1.297	0.037	0.007	0.002
8.44	1.295	0.040	0.007	0.001
8.46	1.294	0.042	0.007	0.001
8.48	1.292	0.044	0.007	0.001
8.50	1.290	0.046	0.007	0.001
8.52	1.288	0.049	0.007	0.001
8.54	1.288	0.052	0.007	0.001
8.56	1.287	0.054	0.007	0.001
8.58	1.286	0.056	0.007	0.001
8.60	1.285	0.057	0.007	0.001
8.62	1.282	0.059	0.007	0.001
8.64	1.281	0.061	0.007	0.001
8.66	1.278	0.063	0.008	0.001
8.68	1.276	0.067	0.008	0.001
8.70	1.274	0.070	0.008	0.001
8.72	1.273	0.073	0.008	0.001
8.74	1.271	0.076	0.008	0.001
8.76	1.270	0.080	0.008	0.001
8.78	1.268	0.083	0.008	0.001
8.80	1.267	0.086	0.008	0.001
