wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
13.32	1.492	0.032	0.004	0.006
13.34	1.491	0.031	0.004	0.005
13.36	1.491	0.031	0.004	0.005
13.38	1.491	0.030	0.004	0.006
13.40	1.490	0.030	0.004	0.005
13.42	1.491	0.030	0.004	0.005
13.44	1.491	0.029	0.004	0.005
13.46	1.491	0.028	0.004	0.005
13.48	1.490	0.027	0.004	0.005
13.50	1.489	0.027	0.004	0.005
13.52	1.489	0.026	0.004	0.005
13.54	1.487	0.026	0.004	0.005
13.56	1.488	0.026	0.004	0.005
13.58	1.486	0.025	0.004	0.005
13.60	1.486	0.026	0.004	0.005
13.62	1.486	0.026	0.004	0.005
13.64	1.485	0.026	0.004	0.005
13.66	1.485	0.026	0.005	0.005
13.68	1.485	0.026	0.005	0.005
13.70	1.485	0.026	0.004	0.005
13.72	1.485	0.026	0.005	0.005
13.74	1.485	0.025	0.004	0.005
13.76	1.485	0.025	0.004	0.005
13.78	1.484	0.024	0.004	0.004
13.80	1.484	0.024	0.004	0.004
13.82	1.483	0.023	0.004	0.004
13.84	1.483	0.023	0.005	0.004
13.86	1.481	0.022	0.005	0.004
13.88	1.480	0.024	0.005	0.005
13.90	1.481	0.024	0.005	0.005
13.92	1.480	0.024	0.005	0.005
13.94	1.480	0.024	0.005	0.005
13.96	1.479	0.025	0.005	0.005
13.98	1.480	0.025	0.005	0.005
14.00	1.480	0.025	0.005	0.005
14.02	1.480	0.025	0.005	0.005
14.04	1.480	0.025	0.005	0.005
14.06	1.480	0.025	0.005	0.005
14.08	1.481	0.025	0.005	0.005
14.10	1.481	0.024	0.005	0.005
14.12	1.481	0.024	0.005	0.005
14.14	1.482	0.023	0.005	0.005
14.16	1.481	0.021	0.005	0.004
14.18	1.479	0.021	0.005	0.004
14.20	1.479	0.021	0.005	0.004
14.22	1.478	0.020	0.004	0.004
14.24	1.477	0.021	0.005	0.004
14.26	1.477	0.020	0.005	0.004
14.28	1.476	0.021	0.005	0.004
14.30	1.476	0.021	0.005	0.004
14.32	1.476	0.021	0.005	0.004
14.34	1.476	0.021	0.005	0.004
14.36	1.475	0.021	0.006	0.004
14.38	1.475	0.022	0.005	0.004
14.40	1.475	0.022	0.006	0.004
14.42	1.476	0.022	0.005	0.004
14.44	1.476	0.022	0.006	0.004
14.46	1.477	0.021	0.005	0.004
14.48	1.477	0.020	0.006	0.004
14.50	1.477	0.019	0.005	0.004
14.52	1.477	0.018	0.006	0.004
14.54	1.476	0.017	0.006	0.003
14.56	1.475	0.017	0.007	0.003
14.58	1.474	0.016	0.006	0.003
14.60	1.474	0.016	0.007	0.003
14.62	1.473	0.015	0.006	0.002
14.64	1.472	0.015	0.008	0.002
14.66	1.471	0.014	0.007	0.002
14.68	1.470	0.015	0.009	0.002
14.70	1.471	0.014	0.007	0.002
14.72	1.469	0.014	0.010	0.002
14.74	1.469	0.014	0.008	0.002
14.76	1.468	0.014	0.010	0.002
14.78	1.468	0.013	0.008	0.002
14.80	1.466	0.013	0.011	0.003
14.82	1.465	0.013	0.009	0.003
14.84	1.463	0.013	0.013	0.004
14.86	1.463	0.014	0.010	0.004
14.88	1.462	0.014	0.015	0.005
14.90	1.460	0.015	0.011	0.006
14.92	1.460	0.016	0.018	0.006
14.94	1.459	0.017	0.012	0.007
14.96	1.459	0.018	0.024	0.007
14.98	1.457	0.019	0.014	0.007
15.00	1.460	0.023	0.048	0.008
