wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
9.52	1.179	0.618	0.070	0.127
9.54	1.202	0.637	0.068	0.132
9.56	1.230	0.659	0.062	0.138
9.58	1.261	0.675	0.058	0.142
9.60	1.293	0.692	0.050	0.148
9.62	1.331	0.706	0.043	0.153
9.64	1.372	0.713	0.031	0.156
9.66	1.413	0.712	0.024	0.156
9.68	1.450	0.708	0.016	0.155
9.70	1.486	0.700	0.013	0.153
9.72	1.520	0.690	0.013	0.153
9.74	1.553	0.676	0.015	0.149
9.76	1.581	0.661	0.022	0.148
9.78	1.610	0.645	0.026	0.144
9.80	1.637	0.625	0.034	0.140
9.82	1.660	0.601	0.037	0.134
9.84	1.674	0.580	0.040	0.131
9.86	1.694	0.563	0.044	0.128
9.88	1.710	0.540	0.049	0.124
9.90	1.724	0.520	0.051	0.119
9.92	1.736	0.498	0.055	0.115
9.94	1.746	0.480	0.057	0.112
9.96	1.758	0.463	0.062	0.109
9.98	1.776	0.443	0.066	0.106
10.00	1.786	0.414	0.074	0.098
10.02	1.792	0.388	0.075	0.087
10.04	1.793	0.362	0.076	0.080
10.06	1.796	0.340	0.075	0.072
10.08	1.792	0.315	0.075	0.066
10.10	1.791	0.298	0.072	0.060
10.12	1.786	0.275	0.071	0.054
10.14	1.782	0.261	0.069	0.050
10.16	1.777	0.240	0.068	0.045
10.18	1.771	0.228	0.064	0.042
10.20	1.766	0.208	0.063	0.038
10.22	1.757	0.198	0.059	0.035
10.24	1.751	0.181	0.058	0.032
10.26	1.739	0.173	0.054	0.030
10.28	1.735	0.162	0.054	0.027
10.30	1.725	0.152	0.050	0.026
10.32	1.718	0.143	0.049	0.024
10.34	1.710	0.137	0.045	0.023
10.36	1.704	0.129	0.045	0.021
10.38	1.697	0.123	0.042	0.020
10.40	1.689	0.113	0.042	0.019
10.42	1.679	0.112	0.037	0.017
10.44	1.677	0.105	0.038	0.017
10.46	1.667	0.101	0.035	0.016
10.48	1.663	0.096	0.035	0.015
10.50	1.654	0.093	0.031	0.015
10.52	1.650	0.090	0.032	0.014
10.54	1.644	0.087	0.028	0.014
10.56	1.639	0.083	0.029	0.014
10.58	1.632	0.081	0.026	0.014
10.60	1.628	0.077	0.027	0.013
10.62	1.620	0.076	0.023	0.013
10.64	1.617	0.075	0.024	0.013
10.66	1.610	0.074	0.021	0.013
10.68	1.608	0.074	0.022	0.012
10.70	1.604	0.071	0.020	0.012
10.72	1.598	0.070	0.020	0.012
10.74	1.594	0.073	0.018	0.012
10.76	1.593	0.071	0.019	0.011
10.78	1.589	0.071	0.016	0.011
10.80	1.588	0.070	0.017	0.011
10.82	1.584	0.069	0.015	0.011
10.84	1.582	0.069	0.016	0.011
10.86	1.579	0.069	0.014	0.011
10.88	1.578	0.069	0.015	0.011
10.90	1.577	0.068	0.013	0.011
10.92	1.575	0.066	0.014	0.011
10.94	1.572	0.066	0.012	0.011
10.96	1.572	0.066	0.014	0.011
10.98	1.571	0.065	0.012	0.011
11.00	1.570	0.062	0.013	0.010
11.02	1.568	0.062	0.011	0.010
11.04	1.568	0.059	0.013	0.010
11.06	1.564	0.058	0.010	0.009
11.08	1.564	0.057	0.012	0.009
11.10	1.563	0.054	0.009	0.009
11.12	1.560	0.050	0.011	0.009
11.14	1.555	0.050	0.008	0.008
11.16	1.554	0.049	0.009	0.009
11.18	1.550	0.048	0.007	0.008
11.20	1.550	0.048	0.008	0.008
11.22	1.547	0.045	0.006	0.008
11.24	1.542	0.045	0.007	0.008
11.26	1.539	0.047	0.005	0.008
11.28	1.538	0.046	0.006	0.007
11.30	1.534	0.047	0.004	0.008
11.32	1.533	0.048	0.005	0.008
11.34	1.530	0.050	0.003	0.009
11.36	1.531	0.052	0.005	0.009
11.38	1.530	0.052	0.003	0.009
11.40	1.530	0.054	0.004	0.009
11.42	1.533	0.054	0.004	0.009
11.44	1.532	0.052	0.004	0.009
11.46	1.532	0.053	0.003	0.009
11.48	1.533	0.051	0.005	0.009
11.50	1.534	0.051	0.003	0.009
11.52	1.534	0.047	0.005	0.008
11.54	1.534	0.047	0.003	0.008
11.56	1.534	0.041	0.004	0.007
11.58	1.530	0.042	0.002	0.007
11.60	1.532	0.038	0.003	0.007
11.62	1.525	0.036	0.001	0.007
11.64	1.526	0.038	0.003	0.006
11.66	1.525	0.036	0.001	0.006
11.68	1.524	0.033	0.002	0.006
11.70	1.520	0.032	0.001	0.006
11.72	1.519	0.032	0.001	0.006
11.74	1.516	0.032	0.001	0.006
11.76	1.516	0.032	0.001	0.006
11.78	1.514	0.030	0.002	0.006
11.80	1.512	0.030	0.001	0.006
11.82	1.510	0.030	0.003	0.006
11.84	1.509	0.030	0.002	0.005
11.86	1.507	0.030	0.003	0.006
11.88	1.507	0.029	0.002	0.005
11.90	1.504	0.028	0.004	0.006
11.92	1.503	0.028	0.003	0.006
11.94	1.501	0.028	0.004	0.006
11.96	1.500	0.028	0.003	0.005
11.98	1.498	0.028	0.005	0.006
12.00	1.498	0.029	0.004	0.005
12.02	1.497	0.028	0.005	0.005
12.04	1.495	0.027	0.004	0.006
12.06	1.493	0.028	0.007	0.005
12.08	1.493	0.027	0.005	0.006
12.10	1.489	0.028	0.007	0.005
12.12	1.490	0.030	0.005	0.005
12.14	1.489	0.028	0.007	0.005
12.16	1.488	0.029	0.006	0.005
12.18	1.488	0.028	0.008	0.005
12.20	1.485	0.027	0.006	0.006
12.22	1.483	0.029	0.008	0.005
12.24	1.484	0.029	0.007	0.005
12.26	1.481	0.028	0.009	0.005
12.28	1.479	0.029	0.007	0.005
12.30	1.478	0.030	0.010	0.005
12.32	1.477	0.031	0.009	0.006
12.34	1.476	0.033	0.010	0.006
12.36	1.477	0.033	0.009	0.006
12.38	1.475	0.033	0.011	0.006
12.40	1.475	0.034	0.009	0.006
12.42	1.474	0.035	0.011	0.007
12.44	1.473	0.036	0.010	0.007
12.46	1.474	0.038	0.010	0.007
12.48	1.475	0.038	0.009	0.007
12.50	1.475	0.038	0.010	0.007
12.52	1.475	0.038	0.009	0.007
12.54	1.475	0.038	0.010	0.007
12.56	1.475	0.038	0.009	0.007
12.58	1.475	0.038	0.010	0.007
12.60	1.476	0.037	0.009	0.007
12.62	1.475	0.037	0.011	0.007
12.64	1.475	0.037	0.009	0.007
12.66	1.474	0.036	0.011	0.007
12.68	1.473	0.036	0.010	0.007
12.70	1.472	0.037	0.011	0.007
12.72	1.473	0.037	0.010	0.007
12.74	1.472	0.037	0.011	0.007
12.76	1.472	0.037	0.011	0.007
12.78	1.472	0.038	0.012	0.007
12.80	1.472	0.038	0.011	0.007
12.82	1.472	0.038	0.012	0.007
12.84	1.473	0.038	0.011	0.007
12.86	1.474	0.038	0.011	0.007
12.88	1.474	0.036	0.010	0.007
12.90	1.473	0.036	0.011	0.007
12.92	1.473	0.035	0.010	0.007
12.94	1.472	0.035	0.012	0.007
12.96	1.473	0.034	0.011	0.006
12.98	1.471	0.034	0.012	0.007
13.00	1.472	0.034	0.011	0.007
13.02	1.471	0.033	0.012	0.006
13.04	1.471	0.033	0.012	0.006
13.06	1.472	0.033	0.013	0.006
13.08	1.472	0.029	0.012	0.007
13.10	1.468	0.029	0.013	0.007
13.12	1.468	0.029	0.013	0.007
13.14	1.464	0.029	0.014	0.007
13.16	1.464	0.032	0.013	0.006
13.18	1.465	0.032	0.014	0.006
13.20	1.465	0.032	0.013	0.006
13.22	1.465	0.032	0.014	0.006
13.24	1.464	0.031	0.013	0.006
13.26	1.463	0.032	0.015	0.006
13.28	1.464	0.032	0.014	0.006
13.30	1.463	0.032	0.015	0.006
13.32	1.463	0.032	0.014	0.007
13.34	1.464	0.032	0.015	0.007
13.36	1.464	0.030	0.014	0.006
13.38	1.462	0.030	0.015	0.006
13.40	1.462	0.030	0.015	0.006
13.42	1.461	0.030	0.015	0.006
13.44	1.461	0.030	0.015	0.006
13.46	1.460	0.030	0.015	0.006
13.48	1.460	0.030	0.015	0.006
13.50	1.459	0.030	0.016	0.006
13.52	1.459	0.030	0.016	0.006
13.54	1.458	0.030	0.016	0.006
13.56	1.458	0.030	0.016	0.006
13.58	1.458	0.030	0.016	0.006
13.60	1.458	0.030	0.016	0.006
13.62	1.457	0.030	0.017	0.006
13.64	1.457	0.030	0.017	0.006
13.66	1.456	0.030	0.017	0.006
13.68	1.456	0.030	0.017	0.006
13.70	1.455	0.030	0.017	0.006
13.72	1.455	0.030	0.018	0.006
13.74	1.454	0.030	0.018	0.006
13.76	1.454	0.031	0.018	0.007
13.78	1.454	0.031	0.018	0.007
13.80	1.454	0.031	0.018	0.007
13.82	1.454	0.031	0.018	0.007
13.84	1.454	0.031	0.019	0.007
13.86	1.453	0.031	0.019	0.007
13.88	1.453	0.032	0.019	0.007
13.90	1.453	0.032	0.019	0.007
13.92	1.453	0.032	0.020	0.007
13.94	1.452	0.032	0.019	0.007
13.96	1.453	0.033	0.020	0.008
13.98	1.453	0.033	0.019	0.008
14.00	1.454	0.033	0.020	0.008
14.02	1.454	0.033	0.019	0.008
14.04	1.455	0.033	0.021	0.008
14.06	1.455	0.032	0.020	0.008
14.08	1.456	0.032	0.021	0.008
14.10	1.457	0.031	0.020	0.008
14.12	1.457	0.029	0.022	0.009
14.14	1.455	0.028	0.020	0.009
14.16	1.456	0.028	0.022	0.009
14.18	1.456	0.025	0.020	0.009
14.20	1.453	0.024	0.022	0.009
14.22	1.451	0.023	0.021	0.009
14.24	1.449	0.024	0.023	0.010
14.26	1.448	0.025	0.021	0.010
14.28	1.446	0.026	0.024	0.010
14.30	1.445	0.028	0.021	0.010
14.32	1.446	0.030	0.024	0.010
14.34	1.447	0.030	0.021	0.010
14.36	1.448	0.030	0.024	0.010
14.38	1.448	0.030	0.022	0.010
14.40	1.448	0.030	0.025	0.011
14.42	1.448	0.030	0.022	0.011
14.44	1.448	0.030	0.026	0.011
14.46	1.448	0.030	0.022	0.011
14.48	1.448	0.030	0.027	0.012
14.50	1.448	0.030	0.022	0.012
14.52	1.448	0.030	0.027	0.012
