wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
7.98	1.422	0.010	0.022	0.003
8.00	1.420	0.010	0.023	0.003
8.02	1.416	0.009	0.023	0.003
8.04	1.413	0.010	0.024	0.003
8.06	1.410	0.010	0.024	0.003
8.08	1.407	0.010	0.025	0.003
8.10	1.404	0.010	0.026	0.003
8.12	1.400	0.011	0.027	0.003
8.14	1.398	0.012	0.027	0.003
8.16	1.396	0.012	0.028	0.003
8.18	1.394	0.012	0.028	0.003
8.20	1.390	0.011	0.029	0.004
8.22	1.386	0.012	0.030	0.004
8.24	1.383	0.013	0.030	0.004
8.26	1.379	0.014	0.031	0.004
8.28	1.376	0.016	0.031	0.004
8.30	1.373	0.016	0.032	0.004
8.32	1.369	0.018	0.033	0.005
8.34	1.366	0.019	0.033	0.005
8.36	1.362	0.021	0.034	0.005
8.38	1.359	0.023	0.035	0.006
8.40	1.356	0.025	0.035	0.006
8.42	1.353	0.027	0.036	0.006
8.44	1.351	0.030	0.036	0.007
8.46	1.348	0.031	0.037	0.007
8.48	1.344	0.035	0.038	0.008
8.50	1.343	0.037	0.038	0.008
8.52	1.339	0.039	0.039	0.008
8.54	1.337	0.043	0.039	0.009
8.56	1.335	0.045	0.039	0.009
8.58	1.332	0.049	0.040	0.010
8.60	1.331	0.052	0.040	0.011
8.62	1.329	0.055	0.040	0.011
8.64	1.327	0.058	0.041	0.011
8.66	1.325	0.061	0.041	0.012
8.68	1.324	0.064	0.041	0.013
8.70	1.322	0.067	0.042	0.013
8.72	1.320	0.070	0.042	0.014
8.74	1.319	0.073	0.042	0.014
8.76	1.316	0.076	0.042	0.015
8.78	1.315	0.080	0.043	0.015
8.80	1.313	0.083	0.043	0.016
8.82	1.310	0.087	0.043	0.016
8.84	1.309	0.092	0.044	0.017
8.86	1.307	0.097	0.044	0.018
8.88	1.307	0.102	0.044	0.018
8.90	1.306	0.107	0.044	0.019
8.92	1.306	0.113	0.044	0.020
8.94	1.307	0.118	0.044	0.021
8.96	1.309	0.123	0.044	0.021
8.98	1.311	0.127	0.044	0.022
9.00	1.313	0.131	0.043	0.022
9.02	1.316	0.134	0.043	0.023
9.04	1.318	0.136	0.043	0.023
9.06	1.319	0.137	0.043	0.023
9.08	1.320	0.139	0.043	0.023
9.10	1.322	0.139	0.043	0.023
9.12	1.321	0.139	0.043	0.023
9.14	1.320	0.140	0.043	0.023
9.16	1.318	0.141	0.044	0.023
9.18	1.316	0.143	0.044	0.024
9.20	1.313	0.145	0.044	0.024
9.22	1.310	0.147	0.045	0.024
9.24	1.306	0.150	0.046	0.024
9.26	1.301	0.155	0.046	0.025
9.28	1.297	0.161	0.047	0.026
9.30	1.294	0.167	0.048	0.027
9.32	1.290	0.174	0.048	0.028
9.34	1.287	0.183	0.049	0.029
9.36	1.283	0.193	0.049	0.031
9.38	1.283	0.204	0.050	0.032
9.40	1.282	0.214	0.050	0.034
9.42	1.282	0.227	0.050	0.036
9.44	1.284	0.239	0.050	0.037
9.46	1.287	0.252	0.049	0.039
9.48	1.291	0.264	0.049	0.041
9.50	1.296	0.278	0.048	0.042
9.52	1.304	0.292	0.047	0.044
9.54	1.314	0.305	0.046	0.046
9.56	1.325	0.316	0.045	0.048
9.58	1.337	0.328	0.043	0.049
9.60	1.351	0.338	0.042	0.051
9.62	1.367	0.346	0.040	0.052
9.64	1.383	0.351	0.038	0.052
9.66	1.399	0.357	0.037	0.053
9.68	1.418	0.359	0.035	0.054
9.70	1.432	0.358	0.033	0.054
9.72	1.448	0.359	0.031	0.054
9.74	1.464	0.355	0.030	0.053
9.76	1.477	0.352	0.028	0.053
9.78	1.491	0.348	0.027	0.053
9.80	1.504	0.343	0.026	0.052
9.82	1.515	0.336	0.025	0.051
9.84	1.524	0.331	0.024	0.050
9.86	1.535	0.325	0.023	0.050
9.88	1.542	0.321	0.022	0.049
9.90	1.555	0.317	0.022	0.049
9.92	1.564	0.309	0.021	0.048
9.94	1.573	0.305	0.020	0.047
9.96	1.585	0.297	0.020	0.046
9.98	1.593	0.288	0.019	0.045
10.00	1.602	0.280	0.018	0.045
10.02	1.611	0.270	0.018	0.043
10.04	1.618	0.259	0.017	0.042
10.06	1.624	0.248	0.017	0.041
10.08	1.630	0.237	0.017	0.039
10.10	1.635	0.224	0.016	0.038
10.12	1.637	0.213	0.016	0.036
10.14	1.639	0.201	0.016	0.034
10.16	1.639	0.191	0.015	0.033
10.18	1.641	0.179	0.015	0.032
10.20	1.638	0.169	0.015	0.030
10.22	1.638	0.159	0.015	0.029
10.24	1.634	0.149	0.015	0.027
10.26	1.632	0.141	0.016	0.026
10.28	1.627	0.135	0.016	0.026
10.30	1.627	0.128	0.016	0.024
10.32	1.622	0.121	0.016	0.024
10.34	1.620	0.115	0.017	0.023
10.36	1.614	0.112	0.017	0.023
10.38	1.616	0.108	0.018	0.022
10.40	1.611	0.103	0.019	0.022
10.42	1.615	0.100	0.019	0.021
10.44	1.609	0.096	0.020	0.021
10.46	1.632	0.095	0.020	0.021
10.48	1.628	0.047	0.021	0.021
10.50	1.592	0.046	0.022	0.021
10.52	1.588	0.046	0.023	0.021
10.54	1.572	0.046	0.023	0.021
10.56	1.568	0.048	0.024	0.022
10.58	1.559	0.048	0.024	0.022
10.60	1.555	0.049	0.025	0.022
10.62	1.548	0.050	0.025	0.023
10.64	1.544	0.052	0.026	0.023
10.66	1.539	0.054	0.026	0.024
10.68	1.537	0.056	0.027	0.024
10.70	1.533	0.058	0.026	0.025
10.72	1.532	0.059	0.026	0.025
10.74	1.527	0.061	0.026	0.026
10.76	1.527	0.063	0.027	0.026
10.78	1.524	0.064	0.026	0.027
10.80	1.523	0.066	0.026	0.027
10.82	1.520	0.068	0.027	0.027
